日期,标题,涉及方,涉及方类型,细分行业,行业类型,链接
2020年08月21日 23:39,Rostelecom和Waves Enterprise开发基于联邦区块链电子投票系统,Rostelecom,其他,Rostelecom,待定,https://baijiahao.baidu.com/s?id=1675650068755348000&amp;wfr=spider&amp;for=pc
2020年08月21日 22:30,国雄资本姚尚坤:区块链为跨境支付提供新动能,国雄,其他,国雄,待定,https://baijiahao.baidu.com/s?id=1675646045092568510&amp;wfr=spider&amp;for=pc
2020年08月21日 22:17,"破除区块链支付壁垒,paydex支付架构方案浮出水面",破除,其他,破除,待定,https://baijiahao.baidu.com/s?id=1675644859046726645&amp;wfr=spider&amp;for=pc
2020年08月21日 22:03,腾讯All in新基建 解码其区块链布局,腾讯,腾讯,新基建,政策,https://baijiahao.baidu.com/s?id=1675643962905737202&amp;wfr=spider&amp;for=pc
2020年08月21日 21:40,全球区块链创新提速开启数字财富窗口期 火币大学培育数字经济精英...,火币,火币,全球,待定,https://baijiahao.baidu.com/s?id=1675642530950428751&amp;wfr=spider&amp;for=pc
2020年08月21日 20:41,全国政协副主席万钢:推动区块链等技术与实体经济深度融合,全国政协,其他,全国政协,待定,https://baijiahao.baidu.com/s?id=1675638810422954623&amp;wfr=spider&amp;for=pc
2020年08月21日 20:30,"国内首发分布式数字身份白皮书,七城“监管沙盒”区块链占三成",国内,其他,白皮书,其他,https://baijiahao.baidu.com/s?id=1675638228453051481&amp;wfr=spider&amp;for=pc
2020年08月21日 18:17,8月22日丨黑犇科技将出席“全球区块链算力大会-成都站”,科技,其他科技公司,大会,媒体,https://baijiahao.baidu.com/s?id=1675629753411317198&amp;wfr=spider&amp;for=pc
2020年08月21日 17:46,区块链交易平台为“稳外贸”保驾护航,区块链,其他,区块链,待定,https://baijiahao.baidu.com/s?id=1675627777336787604&amp;wfr=spider&amp;for=pc
2020年08月21日 17:19,「区块链鲁智深」8.21晚间BTC/ETH行情分析,「,其他,BTC,公链,https://baijiahao.baidu.com/s?id=1675626094104381491&amp;wfr=spider&amp;for=pc
2020年08月21日 16:47,「区块链+游戏」链博科技“区块链+产业”链改系列报告12,科技,其他科技公司,游戏,游戏,https://baijiahao.baidu.com/s?id=1675624107316913441&amp;wfr=spider&amp;for=pc
2020年08月21日 16:47,趣链科技中标中国电信北京研究院两项区块链项目,趣链,趣链,研究院,科研,https://baijiahao.baidu.com/s?id=1675625241307807067&amp;wfr=spider&amp;for=pc
2020年08月21日 16:42,区块链+公益慈善:信任链接未来,区块链,其他,公益,公益,https://baijiahao.baidu.com/s?id=1675623639806622155&amp;wfr=spider&amp;for=pc
2020年08月21日 16:34,"东港股份:1、我公司区块链业务目前正在推广过程中,如达到信息披露...",东港,其他,东港,待定,https://www.yuncaijing.com/news/id_14586528.html
2020年08月21日 16:27,区块链数据安全服务商“中驰区块链”完成数千万元天使轮融资,区块链,其他,融资,供应链金融,https://baijiahao.baidu.com/s?id=1675622881679407945&amp;wfr=spider&amp;for=pc
2020年08月21日 16:17,"新基建下,区块链的价值链接之路",新基建,其他,新基建,政策,https://baijiahao.baidu.com/s?id=1675621851467013319&amp;wfr=spider&amp;for=pc
2020年08月21日 15:00,马小峰:区块链真正的发展作用是协同自主,马,其他,马,待定,https://baijiahao.baidu.com/s?id=1675617319353706012&amp;wfr=spider&amp;for=pc
2020年08月21日 14:52,星际无限受邀出席国际区块链周新浪潮之巅数字金融矿业大会,星际,其他,金融,数字科技,https://baijiahao.baidu.com/s?id=1675616849254771114&amp;wfr=spider&amp;for=pc
2020年08月21日 14:40,未来“链爱”|区块链技术发展已历经“区三代”,未来,其他,未来,待定,https://baijiahao.baidu.com/s?id=1675616275559879477&amp;wfr=spider&amp;for=pc
2020年08月21日 14:13,SapceChain在太空中完成第一个多重签名区块链交易,SapceChain,其他,SapceChain,待定,https://baijiahao.baidu.com/s?id=1675614372617227012&amp;wfr=spider&amp;for=pc
2020年08月21日 14:10,"唯链推出区块链可持续发展解决方案,赋能企业实现绿色数字化战略",唯,其他,唯,待定,https://baijiahao.baidu.com/s?id=1675614188988101147&amp;wfr=spider&amp;for=pc
2020年08月21日 14:00,佛罗里达州税收征管员用公共资金成立了区块链公司,佛罗里达州,其他,佛罗里达州,待定,https://baijiahao.baidu.com/s?id=1675613587255021792&amp;wfr=spider&amp;for=pc
2020年08月21日 13:26,了解老牌线下支付区块链项目 Centrality,了解,其他,了解,待定,https://baijiahao.baidu.com/s?id=1675611466271918162&amp;wfr=spider&amp;for=pc
2020年08月21日 11:45,人文与经法学院在线暑期国际学堂之区块链原理与应用圆满结束,人文,其他,人文,待定,https://news.nwpu.edu.cn/info/1003/71831.htm
2020年08月21日 11:37,区块链技术赋能工程机械湘军中联重科与湘江树图签署战略合作,区块链,其他,区块链,待定,https://baijiahao.baidu.com/s?id=1675604603420959263&amp;wfr=spider&amp;for=pc
2020年08月21日 11:32,"国内区块链公司爆发,徐明星旗下欧科云链专注技术研发与商用",国内,其他,国内,待定,https://baijiahao.baidu.com/s?id=1675604337007850864&amp;wfr=spider&amp;for=pc
2020年08月21日 11:29,区块链加密政策成为竞选的关键?,区块链,其他,政策,政策,https://baijiahao.baidu.com/s?id=1675604080602357933&amp;wfr=spider&amp;for=pc
2020年08月21日 10:47,创新南山2020“创业之星”大赛大数据和区块链行业赛决赛圆满结束,创新,其他,大赛,其他,https://baijiahao.baidu.com/s?id=1675601656175732884&amp;wfr=spider&amp;for=pc
2020年08月21日 10:00,链向研究:区块链技术在彩票行业应用现状及发展趋势,链,其他,链,待定,https://baijiahao.baidu.com/s?id=1675598458266423575&amp;wfr=spider&amp;for=pc
2020年08月21日 09:47,甘晨力:区块链技术助力企业开创商业新局面,甘,其他,甘,待定,http://www.sc-rh.com/news/2020/0821/082020_15692.html
2020年08月21日 09:35,唯链推出区块链可持续发展解决方案,唯,其他,唯,待定,https://baijiahao.baidu.com/s?id=1675597953882933615&amp;wfr=spider&amp;for=pc
2020年08月21日 05:35,Conflux树图区块链入驻长沙,长沙,地区,Conflux,待定,https://baijiahao.baidu.com/s?id=1675581799339365313&amp;wfr=spider&amp;for=pc
2020年08月20日 23:16,区块链之旅:Paxful创始人Ray Youssef,区块链,其他,区块链,待定,https://baijiahao.baidu.com/s?id=1675557931649922695&amp;wfr=spider&amp;for=pc
2020年08月20日 22:51,"区块链人才争夺战愈演愈烈,徐明星旗下欧科云链成培养阵地",区块链,其他,人才,媒体,https://baijiahao.baidu.com/s?id=1675556460085072299&amp;wfr=spider&amp;for=pc
